Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count
52,Meowth,Galar,NULL,0.4,7.5,Steel,NULL,50.0,50.0,50,Sword,50,65,55,40,40,40,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,20
53,Persian,NULL,NULL,1.0,32.0,Normal,NULL,50.0,50.0,50,Red,65,70,60,65,65,115,440,0,0,0,0,0,2,2,90,Medium Fast,1000000,Field,NULL,20
53,Persian,Alola,NULL,1.1,33.0,Dark,NULL,50.0,50.0,50,Sun,65,60,60,75,65,115,440,0,0,0,0,0,2,2,90,Medium Fast,1000000,Field,NULL,20
54,Psyduck,NULL,NULL,0.8,19.6,Water,NULL,50.0,50.0,50,Red,50,52,48,65,50,55,320,0,0,0,1,0,0,1,190,Medium Fast,1000000,Water 1,Field,20
55,Golduck,NULL,NULL,1.7,76.6,Water,NULL,50.0,50.0,50,Red,80,82,78,95,80,85,500,0,0,0,2,0,0,2,75,Medium Fast,1000000,Water 1,Field,20
56,Mankey,NULL,NULL,0.5,28.0,Fighting,NULL,50.0,50.0,50,Red,40,80,35,35,45,70,305,0,1,0,0,0,0,1,190,Medium Fast,1000000,Field,NULL,20
57,Primeape,NULL,NULL,1.0,32.0,Fighting,NULL,50.0,50.0,50,Red,65,105,60,60,70,95,455,0,2,0,0,0,0,2,75,Medium Fast,1000000,Field,NULL,20
58,Growlithe,NULL,NULL,0.7,19.0,Fire,NULL,75.0,25.0,50,Red,55,70,45,70,50,60,350,0,1,0,0,0,0,1,190,Slow,1250000,Field,NULL,20
58,Growlithe,Hisui,NULL,0.8,22.7,Fire,Rock,75.0,25.0,50,Legends Arceus,60,75,45,65,50,55,350,0,1,0,0,0,0,1,235,Slow,1250000,Field,NULL,20
59,Arcanine,NULL,NULL,1.9,155.0,Fire,NULL,75.0,25.0,50,Red,90,110,80,100,80,95,555,0,2,0,0,0,0,2,75,Slow,1250000,Field,NULL,20
59,Arcanine,Hisui,NULL,2.0,168.0,Fire,Rock,75.0,25.0,50,Legends Arceus,95,115,80,95,80,90,555,0,2,0,0,0,0,2,135,Slow,1250000,Field,NULL,20
60,Poliwag,NULL,NULL,0.6,12.4,Water,NULL,50.0,50.0,50,Red,40,50,40,40,40,90,300,0,0,0,0,0,1,1,255,Medium Slow,1059860,Water 1,NULL,20
61,Poliwhirl,NULL,NULL,1.0,20.0,Water,NULL,50.0,50.0,50,Red,65,65,65,50,50,90,385,0,0,0,0,0,2,2,120,Medium Slow,1059860,Water 1,NULL,20
62,Poliwrath,NULL,NULL,1.3,54.0,Water,Fighting,50.0,50.0,50,Red,90,95,95,70,90,70,510,0,0,3,0,0,0,3,45,Medium Slow,1059860,Water 1,NULL,20
63,Abra,NULL,NULL,0.9,19.5,Psychic,NULL,75.0,25.0,50,Red,25,20,15,105,55,90,310,0,0,0,1,0,0,1,200,Medium Slow,1059860,Human-Like,NULL,20
64,Kadabra,NULL,NULL,1.3,56.5,Psychic,NULL,75.0,25.0,50,Red,40,35,30,120,70,105,400,0,0,0,2,0,0,2,100,Medium Slow,1059860,Human-Like,NULL,20
65,Alakazam,NULL,NULL,1.5,48.0,Psychic,NULL,75.0,25.0,50,Red,55,50,45,135,95,120,500,0,0,0,3,0,0,3,50,Medium Slow,1059860,Human-Like,NULL,20
65,Alakazam,NULL,NULL,1.5,48.0,Psychic,NULL,75.0,25.0,50,Red,55,50,45,135,95,120,500,0,0,0,3,0,0,3,50,Medium Slow,1059860,Human-Like,NULL,20
65,Alakazam,Mega,NULL,1.2,48.0,Psychic,NULL,75.0,25.0,70,X,55,50,65,175,105,150,600,0,0,0,3,0,0,3,50,Medium Slow,1059860,Human-Like,NULL,20
66,Machop,NULL,NULL,0.8,19.5,Fighting,NULL,75.0,25.0,50,Red,70,80,50,35,35,35,305,0,1,0,0,0,0,1,180,Medium Slow,1059860,Human-Like,NULL,20
67,Machoke,NULL,NULL,1.5,70.5,Fighting,NULL,75.0,25.0,50,Red,80,100,70,50,60,45,405,0,2,0,0,0,0,2,90,Medium Slow,1059860,Human-Like,NULL,20
68,Machamp,NULL,NULL,1.6,130.0,Fighting,NULL,75.0,25.0,50,Red,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,Human-Like,NULL,20
68,Machamp,NULL,NULL,1.6,130.0,Fighting,NULL,75.0,25.0,50,Red,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,Human-Like,NULL,20
69,Bellsprout,NULL,NULL,0.7,4.0,Grass,Poison,50.0,50.0,50,Red,50,75,35,70,30,40,300,0,1,0,0,0,0,1,255,Medium Slow,1059860,Grass,NULL,20
70,Weepinbell,NULL,NULL,1.0,6.4,Grass,Poison,50.0,50.0,50,Red,65,90,50,85,45,55,390,0,2,0,0,0,0,2,120,Medium Slow,1059860,Grass,NULL,20
71,Victreebel,NULL,NULL,1.7,15.5,Grass,Poison,50.0,50.0,50,Red,80,105,65,100,70,70,490,0,3,0,0,0,0,3,45,Medium Slow,1059860,Grass,NULL,20
72,Tentacool,NULL,NULL,0.9,45.5,Water,Poison,50.0,50.0,50,Red,40,40,35,50,100,70,335,0,0,0,0,1,0,1,190,Slow,1250000,Water 3,NULL,20
73,Tentacruel,NULL,NULL,1.6,55.0,Water,Poison,50.0,50.0,50,Red,80,70,65,80,120,100,515,0,0,0,0,2,0,2,60,Slow,1250000,Water 3,NULL,20
74,Geodude,NULL,NULL,0.4,20.0,Rock,Ground,50.0,50.0,50,Red,40,80,100,30,30,20,300,0,0,1,0,0,0,1,255,Medium Slow,1059860,Mineral,NULL,15
74,Geodude,Alola,NULL,0.4,20.3,Rock,Electric,50.0,50.0,70,Sun,40,80,100,30,30,20,300,0,0,1,0,0,0,1,255,Medium Slow,1059860,Mineral,NULL,15
75,Graveler,Alola,NULL,1.0,110.0,Rock,Electric,50.0,50.0,70,Sun,55,95,115,45,45,35,390,0,0,2,0,0,0,2,120,Medium Slow,1059860,Mineral,NULL,15
75,Graveler,NULL,NULL,1.0,105.0,Rock,Ground,50.0,50.0,50,Red,55,95,115,45,45,35,390,0,0,2,0,0,0,2,120,Medium Slow,1059860,Mineral,NULL,15
76,Golem,NULL,NULL,1.4,300.0,Rock,Ground,50.0,50.0,50,Red,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,Medium Slow,1059860,Mineral,NULL,15
76,Golem,NULL,NULL,1.4,300.0,Rock,Ground,50.0,50.0,50,Red,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,Medium Slow,1059860,Mineral,NULL,15
76,Golem,Alola,NULL,1.7,316.0,Rock,Electric,50.0,50.0,70,Sun,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,Medium Slow,1059860,Mineral,NULL,15
77,Ponyta,Galar,NULL,0.8,24.0,Psychic,NULL,50.0,50.0,50,Sword,50,85,55,65,65,90,410,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
77,Ponyta,NULL,NULL,1.0,30.0,Fire,NULL,50.0,50.0,50,Red,50,85,55,65,65,90,410,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
78,Rapidash,NULL,NULL,1.7,95.0,Fire,NULL,50.0,50.0,50,Red,65,100,70,80,80,105,500,0,0,0,0,0,2,2,60,Medium Fast,1000000,Field,NULL,20
78,Rapidash,Galar,NULL,1.7,80.0,Psychic,Fairy,50.0,50.0,50,Sword,65,100,70,80,80,105,500,0,0,0,0,0,2,2,60,Medium Fast,1000000,Field,NULL,20
79,Slowpoke,Galar,NULL,1.2,36.0,Psychic,NULL,50.0,50.0,50,Sword,90,65,65,40,40,15,315,1,0,0,0,0,0,1,190,Medium Fast,1000000,Monster,Water 1,20
79,Slowpoke,NULL,NULL,1.2,36.0,Water,Psychic,50.0,50.0,50,Red,90,65,65,40,40,15,315,1,0,0,0,0,0,1,190,Medium Fast,1000000,Monster,Water 1,20
80,Slowbro,Mega,NULL,2.0,120.0,Water,Psychic,50.0,50.0,70,Omega Ruby,95,75,180,130,80,30,590,0,0,2,0,0,0,2,75,Medium Fast,1000000,Monster,Water 1,20
80,Slowbro,Galar,NULL,1.6,70.5,Poison,Psychic,50.0,50.0,50,Sword,95,100,95,100,70,30,490,0,2,0,0,0,0,2,75,Medium Fast,1000000,Monster,Water 1,20
80,Slowbro,NULL,NULL,1.6,78.5,Water,Psychic,50.0,50.0,50,Red,95,75,110,100,80,30,490,0,0,2,0,0,0,2,75,Medium Fast,1000000,Monster,Water 1,20
81,Magnemite,NULL,NULL,0.3,6.0,Electric,Steel,0.0,0.0,50,Red,25,35,70,95,55,45,325,0,0,0,1,0,0,1,190,Medium Fast,1000000,Mineral,NULL,20
82,Magneton,NULL,NULL,1.0,60.0,Electric,Steel,0.0,0.0,50,Red,50,60,95,120,70,70,465,0,0,0,2,0,0,2,60,Medium Fast,1000000,Mineral,NULL,20
83,Farfetch'd,NULL,NULL,0.8,15.0,Normal,Flying,50.0,50.0,50,Red,52,90,55,58,62,60,377,0,1,0,0,0,0,1,45,Medium Fast,1000000,Flying,Field,20
83,Farfetch'd,Galar,NULL,0.8,42.0,Fighting,NULL,50.0,50.0,50,Sword,52,95,55,58,62,55,377,0,1,0,0,0,0,1,45,Medium Fast,1000000,Flying,Field,20
84,Doduo,NULL,NULL,1.4,39.2,Normal,Flying,50.0,50.0,50,Red,35,85,45,35,35,75,310,0,1,0,0,0,0,1,190,Medium Fast,1000000,Flying,NULL,20
85,Dodrio,NULL,NULL,1.8,85.2,Normal,Flying,50.0,50.0,50,Red,60,110,70,60,60,110,470,0,2,0,0,0,0,2,45,Medium Fast,1000000,Flying,NULL,20
86,Seel,NULL,NULL,1.1,90.0,Water,NULL,50.0,50.0,50,Red,65,45,55,45,70,45,325,0,0,0,0,1,0,1,190,Medium Fast,1000000,Water 1,Field,20
87,Dewgong,NULL,NULL,1.7,120.0,Water,Ice,50.0,50.0,50,Red,90,70,80,70,95,70,475,0,0,0,0,2,0,2,75,Medium Fast,1000000,Water 1,Field,20
88,Grimer,NULL,NULL,0.9,30.0,Poison,NULL,50.0,50.0,50,Red,80,80,50,40,50,25,325,1,0,0,0,0,0,1,190,Medium Fast,1000000,Amorphous,NULL,20
88,Grimer,Alola,NULL,0.7,42.0,Poison,Dark,50.0,50.0,50,Sun,80,80,50,40,50,25,325,1,0,0,0,0,0,1,190,Medium Fast,1000000,Amorphous,NULL,20
89,Muk,Alola,NULL,1.0,52.0,Poison,Dark,50.0,50.0,50,Sun,105,105,75,65,100,50,500,1,1,0,0,0,0,2,75,Medium Fast,1000000,Amorphous,NULL,20
89,Muk,NULL,NULL,1.2,30.0,Poison,NULL,50.0,50.0,50,Red,105,105,75,65,100,50,500,1,1,0,0,0,0,2,75,Medium Fast,1000000,Amorphous,NULL,20
90,Shellder,NULL,NULL,0.3,4.0,Water,NULL,50.0,50.0,50,Red,30,65,100,45,25,40,305,0,0,1,0,0,0,1,190,Slow,1250000,Water 3,NULL,20
91,Cloyster,NULL,NULL,1.5,132.5,Water,Ice,50.0,50.0,50,Red,50,95,180,85,45,70,525,0,0,2,0,0,0,2,60,Slow,1250000,Water 3,NULL,20
92,Gastly,NULL,NULL,1.3,0.1,Ghost,Poison,50.0,50.0,50,Red,30,35,30,100,35,80,310,0,0,0,1,0,0,1,190,Medium Slow,1059860,Amorphous,NULL,20
93,Haunter,NULL,NULL,1.6,0.1,Ghost,Poison,50.0,50.0,50,Red,45,50,45,115,55,95,405,0,0,0,2,0,0,2,90,Medium Slow,1059860,Amorphous,NULL,20
94,Gengar,NULL,NULL,1.5,40.5,Ghost,Poison,50.0,50.0,50,Red,60,65,60,130,75,110,500,0,0,0,3,0,0,3,45,Medium Slow,1059860,Amorphous,NULL,20
94,Gengar,NULL,NULL,1.5,40.5,Ghost,Poison,50.0,50.0,50,Red,60,65,60,130,75,110,500,0,0,0,3,0,0,3,45,Medium Slow,1059860,Amorphous,NULL,20
94,Gengar,Mega,NULL,1.4,40.5,Ghost,Poison,50.0,50.0,70,X,60,65,80,170,95,130,600,0,0,0,3,0,0,3,45,Medium Slow,1059860,Amorphous,NULL,20
95,Onix,NULL,NULL,8.8,210.0,Rock,Ground,50.0,50.0,50,Red,35,45,160,30,45,70,385,0,0,1,0,0,0,1,45,Medium Fast,1000000,Mineral,NULL,25
96,Drowzee,NULL,NULL,1.0,32.4,Psychic,NULL,50.0,50.0,50,Red,60,48,45,43,90,42,328,0,0,0,0,1,0,1,190,Medium Fast,1000000,Human-Like,NULL,20
97,Hypno,NULL,NULL,1.6,75.6,Psychic,NULL,50.0,50.0,50,Red,85,73,70,73,115,67,483,0,0,0,0,2,0,2,75,Medium Fast,1000000,Human-Like,NULL,20
98,Krabby,NULL,NULL,0.4,6.5,Water,NULL,50.0,50.0,50,Red,30,105,90,25,25,50,325,0,1,0,0,0,0,1,225,Medium Fast,1000000,Water 3,NULL,20
99,Kingler,NULL,NULL,1.3,60.0,Water,NULL,50.0,50.0,50,Red,55,130,115,50,50,75,475,0,2,0,0,0,0,2,60,Medium Fast,1000000,Water 3,NULL,20
